Deck,Player,Format,Event,Level,Rank,Date,LANDS,CREATURES,INSTANTS_and_SORC.,OTHER_SPELLS,SIDEBOARD,LANDS_(29),LANDS_(26),LANDS_(27),LANDS_(28)
Dragonstorm,Mark Herberholz,Standard,Worlds 2007 (New York),,,06/12/07,24.0,4.0,25.0,7.0,0.0,,,,
ManaRamp,Miguel Gatica,Standard,Worlds 2007 (New York),,,06/12/07,23.0,15.0,16.0,6.0,0.0,,,,
Dragonstorm,Jon Finkel,Standard,Worlds 2007 (New York),,,06/12/07,24.0,4.0,25.0,7.0,0.0,,,,
Dragonstorm,Thomas Drake,Standard,Worlds 2007 (New York),,,06/12/07,23.0,4.0,28.0,5.0,0.0,,,,
ManaRamp,Paul Cheon,Standard,Worlds 2007 (New York),,,06/12/07,24.0,14.0,18.0,4.0,0.0,,,,
ManaRamp,Marco Cammilluzzi,Standard,Worlds 2007 (New York),,,06/12/07,24.0,13.0,17.0,7.0,0.0,,,,
Rock,Matthew Chaud,Standard,Worlds 2007 (New York),,,06/12/07,24.0,21.0,10.0,5.0,0.0,,,,
Mannequin,Manuel Bucher,Standard,Worlds 2007 (New York),,,06/12/07,25.0,24.0,6.0,5.0,0.0,,,,
ManaRamp,Damien Buckley,Standard,Worlds 2007 (New York),,,06/12/07,23.0,16.0,18.0,3.0,0.0,,,,
ManaRamp,Armin Birner,Standard,Worlds 2007 (New York),,,06/12/07,23.0,17.0,14.0,6.0,0.0,,,,
Faeries,Leonid Bogachkin,Standard,Worlds 2007 (New York),,,06/12/07,23.0,30.0,7.0,,0.0,,,,
Faeries,Paulo Vitor Damo da Rosa,Standard,Worlds 2008 (Memphis),,5-8,14/12/08,26.0,15.0,15.0,4.0,0.0,,,,
Kithkins,Hannes Kerem,Standard,Worlds 2008 (Memphis),,3-4,14/12/08,25.0,24.0,8.0,3.0,0.0,,,,
Faeries,Kenji Tsumura,Standard,Worlds 2008 (Memphis),,5-8,14/12/08,25.0,12.0,16.0,7.0,0.0,,,,
Quick' n Toast,Jamie Parke,Standard,Worlds 2008 (Memphis),,2,14/12/08,26.0,11.0,23.0,,0.0,,,,
RB Sauce,Tsuyoshi Ikeda,Standard,Worlds 2008 (Memphis),,3-4,14/12/08,25.0,15.0,16.0,4.0,0.0,,,,
Faeries,Antti Malin,Standard,Worlds 2008 (Memphis),,1,14/12/08,25.0,12.0,19.0,4.0,0.0,,,,
Faeries,Akira Asahara,Standard,Worlds 2008 (Memphis),,5-8,14/12/08,25.0,14.0,15.0,6.0,0.0,,,,
Faeries,Frank Karsten,Standard,Worlds 2008 (Memphis),,5-8,14/12/08,25.0,15.0,14.0,6.0,0.0,,,,
Toutounaze,Aaron Nicastri,Standard,Worlds 2008 (Memphis),,Day 1 undefeated,14/12/08,22.0,26.0,4.0,8.0,0.0,,,,
Faeries,Masashi Oiso,Standard,Worlds 2008 (Memphis),,Day 1 undefeated,14/12/08,25.0,14.0,14.0,7.0,0.0,,,,
Kithkins,Sung-Wook Nam,Standard,Worlds 2008 (Memphis),,Day 1 undefeated,14/12/08,25.0,20.0,8.0,7.0,0.0,,,,
